comment_id,thread_id,video_id,comment_text,cleaned_text,author,author_channel_id,likes,is_reply,published_at,published_date,published_time,char_count,word_count,sentence_count,exclamation_count,question_count,caps_ratio,emoji_count,avg_word_length,sentiment_label,sentiment_score,emotion_primary,emotion_secondary,confidence,notes,is_sarcastic,is_spam,is_off_topic,language_other
UgyVB3nslYWN7nwYD-54AaABAg,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,"I dont know why you're all hating ? She's being herself. She always talks like this. Her interviews very professional and intelligent. Shes not faking anything. She actually gave one of the best answers I've heard on any interview ever,","I dont know why you're all hating ? She's being herself. She always talks like this. Her interviews very professional and intelligent. Shes not faking anything. She actually gave one of the best answers I've heard on any interview ever,",,UCMdmnl29nCTUBTFW9SkH-MA,313,0,2013-09-08T04:15:13Z,2013-09-08,04:15:13,236,40,5,0,1,0.03,0,5.9,,,,,,,,,,
UgyVB3nslYWN7nwYD-54AaABAg.8Gbae1qvjCx9LkSRHj_Hkg,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,"She's a hypocrite though who beleives men don't have the same right to wear alternative fashoion and/or makeup at the workplace, that's why she don't consider the harsher dresscodes for men and the group pressure put on adult men to dress ""mature"" a part of double standards","She's a hypocrite though who beleives men don't have the same right to wear alternative fashoion and/or makeup at the workplace, that's why she don't consider the harsher dresscodes for men and the group pressure put on adult men to dress ""mature"" a part of double standards",@katten838,UCAZe_zRi3-Njq2L_OT0AFVQ,0,1,2021-04-05T10:09:55Z,2021-04-05,10:09:55,274,47,1,0,0,0.004,0,5.83,,,,,,,,,,
UgyVB3nslYWN7nwYD-54AaABAg.8Gbae1qvjCx9ZjRbV4QRjJ,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,@@katten838 she just said she loves gay men and a few years ago she went on drag race. a show where most of the contestants are men who crossdress as their job. you’re just spouting shit 💀💀,@@katten838 she just said she loves gay men and a few years ago she went on drag race. a show where most of the contestants are men who crossdress as their job. you’re just spouting shit 💀💀,@tzuyu8788,UC_s06bJJeHlXnzFGR5LpeDA,1,1,2022-03-19T00:02:59Z,2022-03-19,00:02:59,189,37,2,0,0,0.0,0,5.11,,,,,,,,,,
UgyVB3nslYWN7nwYD-54AaABAg.8Gbae1qvjCx9_Aln30LnL8,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,@@tzuyu8788 Ikr? What is this dude on?,@@tzuyu8788 Ikr? What is this dude on?,@Lilfairyxo,UC4AoBWnZOqSY_GBchrCsJWw,2,1,2022-03-30T00:06:49Z,2022-03-30,00:06:49,38,7,2,0,2,0.053,0,5.43,,,,,,,,,,
UgyVB3nslYWN7nwYD-54AaABAg.8Gbae1qvjCx9hhJQ-ApG2-,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,@@katten838 Lmao you gonna source that claim or nah,@@katten838 Lmao you gonna source that claim or nah,@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,13,1,2022-10-27T20:55:27Z,2022-10-27,20:55:27,51,9,1,0,0,0.02,0,5.67,,,,,,,,,,
UgyVB3nslYWN7nwYD-54AaABAg.8Gbae1qvjCxAEcvlnnb-dK,UgyVB3nslYWN7nwYD-54AaABAg,habpdmFSTOo,@@ember-brandtsource: trust me bro.,@@ember-brandtsource: trust me bro.,@Jiaqua,UC2krU17fVkmof5_3I5QfrMQ,1,1,2025-02-17T05:50:33Z,2025-02-17,05:50:33,35,4,1,0,0,0.0,0,8.75,,,,,,,,,,
UgxTN83gNpLYFe9Bpep4AaABAg,UgxTN83gNpLYFe9Bpep4AaABAg,habpdmFSTOo,"the “but that’s not what you asked me?” was very “don’t try to change the subject now, babe” 😂","the “but that’s not what you asked me?” was very “don’t try to change the subject now, babe” 😂",@Jonny-is3rp,UCrvhACTOtmfhd21UszIM_xQ,25,0,2025-03-12T14:13:41Z,2025-03-12,14:13:41,94,19,1,0,1,0.0,0,4.95,,,,,,,,,,
UgyIrbncvONCUboHrxl4AaABAg,UgyIrbncvONCUboHrxl4AaABAg,habpdmFSTOo,her voice sounds so expensive oml,her voice sounds so expensive oml,@zoem.9821,UC7w9zWe8eu83zCxYAgr2evQ,148,0,2021-06-30T07:16:10Z,2021-06-30,07:16:10,33,6,1,0,0,0.0,0,5.5,,,,,,,,,,
UgyIrbncvONCUboHrxl4AaABAg.9PC_usDU_uV9Ud0NRWO63M,UgyIrbncvONCUboHrxl4AaABAg,habpdmFSTOo,And it still is 🥺💕,And it still is 🥺💕,@kikic.6950,UCLFd1J3oQ8QBxdUB98tp81A,9,1,2021-11-12T05:32:36Z,2021-11-12,05:32:36,18,5,1,0,0,0.056,0,3.6,,,,,,,,,,
UgyIrbncvONCUboHrxl4AaABAg.9PC_usDU_uVA2PS9ngNp-m,UgyIrbncvONCUboHrxl4AaABAg,habpdmFSTOo,Italian luxury brand. She is Gucci.,Italian luxury brand. She is Gucci.,@hinsonrodgers9033,UCq5Jtz5eMkHZwXhggeQiGOg,2,1,2024-04-19T08:36:59Z,2024-04-19,08:36:59,35,6,2,0,0,0.086,0,5.83,,,,,,,,,,
Ugw3RSLes6Qz-6OJoJN4AaABAg,Ugw3RSLes6Qz-6OJoJN4AaABAg,habpdmFSTOo,"For everyone losing their minds about the end of the interview: LISTEN CLOSELY TO HER CLARIFICATION. She very much ALWAYS was a feminist- she clearly just didn't understand that's what feminism actually meant, which was COMMON at the time. This was *_2009._* I'm wondering how many of you remember that time very well, but I turned 22 that year. 

Back then, I often said the same thing near verbatim because the common misconception was that feminism was women hating on men, because that's the only way it was EVER showcased in the media - and notice how she instantly clarifies that she doesn't hate men, almost like a knee-jerk reaction, and simply wants to be treated fairly without a double-standard? That's what I mean. She clearly made the same exact mistake that I (and the vast majority of women at the time) did. I repeat: By her own clarification here, she very much ALWAYS was a feminist.","For everyone losing their minds about the end of the interview: LISTEN CLOSELY TO HER CLARIFICATION. She very much ALWAYS was a feminist- she clearly just didn't understand that's what feminism actually meant, which was COMMON at the time. This was *_2009._* I'm wondering how many of you remember that time very well, but I turned 22 that year. Back then, I often said the same thing near verbatim because the common misconception was that feminism was women hating on men, because that's the only way it was EVER showcased in the media - and notice how she instantly clarifies that she doesn't hate men, almost like a knee-jerk reaction, and simply wants to be treated fairly without a double-standard? That's what I mean. She clearly made the same exact mistake that I (and the vast majority of women at the time) did. I repeat: By her own clarification here, she very much ALWAYS was a feminist.",@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,95,0,2022-10-27T21:04:58Z,2022-10-27,21:04:58,899,157,8,0,1,0.073,0,5.73,,,,,,,,,,
UghBMjTTYabkNHgCoAEC,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"When she said ""I am not a feminist"" she was using that sentence to quickly dismiss the idea of what most people (including the interviewer) think feminism is; some bra burning, man hating, cult of women. She is a feminist in the true sense, and always has been. Maybe she herself didn't quite understand the real meaning of 'feminist' back then.","When she said ""I am not a feminist"" she was using that sentence to quickly dismiss the idea of what most people (including the interviewer) think feminism is; some bra burning, man hating, cult of women. She is a feminist in the true sense, and always has been. Maybe she herself didn't quite understand the real meaning of 'feminist' back then.",@helxig,UCvh5M0mXa57LkXsm_IbDrSw,330,0,2014-06-08T13:47:08Z,2014-06-08,13:47:08,345,61,3,0,0,0.012,0,5.66,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl38XZ8n9hSxFa,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"If you have to join a faction named after a gender, you are not in favor of equality. I don't care if a masculinist tells me they are for equality, they de facto are not. If you have to label a woman something in order to accept her opinion, you are probably a sexist.","If you have to join a faction named after a gender, you are not in favor of equality. I don't care if a masculinist tells me they are for equality, they de facto are not. If you have to label a woman something in order to accept her opinion, you are probably a sexist.",@cosbyshmoony4551,UCfdf2w_o_EtgnsHFIdD1wjA,7,1,2017-09-16T04:14:54Z,2017-09-16,04:14:54,268,54,3,0,0,0.011,0,4.96,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl38ZXWKC56WQW,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"Onename Twoname You took the words right of my mouth. That’s exactly what I thought, she embodies what feminism is. Matter of fact, that’s what she did to the interviewer (stand for herself, not take crap and be judged differently for being a woman) and I applaud her. She’s probably gotten that straighten out by now ;)","Onename Twoname You took the words right of my mouth. That’s exactly what I thought, she embodies what feminism is. Matter of fact, that’s what she did to the interviewer (stand for herself, not take crap and be judged differently for being a woman) and I applaud her. She’s probably gotten that straighten out by now ;)",@simplyrowen,UC4dt5mJtNyoV_xy-JGxDNpg,13,1,2017-11-04T06:04:50Z,2017-11-04,06:04:50,320,57,3,0,0,0.025,0,5.61,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl38gPAmdgQkXq,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,True bae.. true.,True bae.. true.,@lllxcl,UCV7DTox43bcs-OxF_4B4dHg,2,1,2018-05-18T20:33:51Z,2018-05-18,20:33:51,16,3,2,0,0,0.062,0,5.33,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl38i26TOy8VoJ,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,Third wave feminism is anti men. Most don’t care about equality they want all advantages of men’s rights without the disadvantages that come with that. Most want to just be superior and not equal. Most don’t care about men’s issues and they are quick to dismiss any statistical data that proves that women have all the rights that men do.,Third wave feminism is anti men. Most don’t care about equality they want all advantages of men’s rights without the disadvantages that come with that. Most want to just be superior and not equal. Most don’t care about men’s issues and they are quick to dismiss any statistical data that proves that women have all the rights that men do.,@lfdrumming7804,UC3S7pRTU63lgMZBv3sUTCMA,3,1,2018-06-28T14:36:23Z,2018-06-28,14:36:23,338,60,4,0,0,0.012,0,5.63,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl38l6MCDefPoh,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"She clearly states “I’m not a feminist.” 
And you question her definition of feminism.

Feminist are fucking quacks.",She clearly states “I’m not a feminist.” And you question her definition of feminism. Feminist are fucking quacks.,@YoAlby,UCUybMj7MoeLv-eRgmqIhd9Q,2,1,2018-09-12T19:45:00Z,2018-09-12,19:45:00,114,18,3,0,0,0.035,0,6.33,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl39Uc7Qd_b43O,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,Or maybe she just didn’t identify as a feminist and we shouldn’t judge her for that.,Or maybe she just didn’t identify as a feminist and we shouldn’t judge her for that.,@Satskiivyon,UCV5Or9tY03ISqN6ZpQbaN8Q,3,1,2021-11-11T21:14:57Z,2021-11-11,21:14:57,84,16,1,0,0,0.012,0,5.25,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl39hhIZaEDmGN,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,@@cosbyshmoony4551 That's like saying BLM or LGBTQ+ Rights aren't for equality because those movements are named for their very necessary focus on the very specific issues of those people. Don't be ridiculous. Actually _RESEARCH_ the groups and what they stand for before you go around announcing how much you don't know with sweeping generalizations.,@@cosbyshmoony4551 That's like saying BLM or LGBTQ+ Rights aren't for equality because those movements are named for their very necessary focus on the very specific issues of those people. Don't be ridiculous. Actually _RESEARCH_ the groups and what they stand for before you go around announcing how much you don't know with sweeping generalizations.,@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,9,1,2022-10-27T20:48:01Z,2022-10-27,20:48:01,351,54,3,0,0,0.057,0,6.5,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl39hhJ-WxqXZt,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"You guys need to remember this was *_2009._* I'm wondering how many of you remember that time very well, but I turned 22 that year. Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.","You guys need to remember this was *_2009._* I'm wondering how many of you remember that time very well, but I turned 22 that year. Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.",@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,2,1,2022-10-27T20:51:50Z,2022-10-27,20:51:50,639,117,5,0,0,0.019,0,5.46,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl39mi6AjXfV2Y,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,feminism in its truest sense is the destruction of the family unit by jews,feminism in its truest sense is the destruction of the family unit by jews,@HomemadeNatty,UC75uRmuRj_EPMoE4diiF9Og,0,1,2023-03-01T10:55:59Z,2023-03-01,10:55:59,74,14,1,0,0,0.0,0,5.29,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl39xT5VDmNyqZ,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,@@cosbyshmoony4551 Aka you don’t know what equality actually is lol.,@@cosbyshmoony4551 Aka you don’t know what equality actually is lol.,@20000dino,UCwZ5Y98Ec2MV0PK9smDTE_A,2,1,2023-11-23T15:27:32Z,2023-11-23,15:27:32,68,10,1,0,0,0.015,0,6.8,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl3A043ObvMld6,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,The word feminist had a different connotation back then,The word feminist had a different connotation back then,@AxlJaxMusic,UCk8M0sKh0v_lF9NEAy96V1w,0,1,2024-02-21T08:13:43Z,2024-02-21,08:13:43,55,9,1,0,0,0.018,0,6.11,,,,,,,,,,
UghBMjTTYabkNHgCoAEC.7-H0Z7-Ckl3A3PT83xVBeN,UghBMjTTYabkNHgCoAEC,habpdmFSTOo,"@@Satskiivyon of coruse she is, have you heard her song schiesse? she loves it very much","@@Satskiivyon of coruse she is, have you heard her song schiesse? she loves it very much",@imbadatdis,UCM0Xv4MmUizSG2SV1CyFUxg,0,1,2024-05-14T05:16:53Z,2024-05-14,05:16:53,88,16,1,0,1,0.011,0,5.5,,,,,,,,,,
UgwxQmE7AnnwSCjVpVJ4AaABAg,UgwxQmE7AnnwSCjVpVJ4AaABAg,habpdmFSTOo,"Yaaaasssssss, equality, not degrading men, but uplifting herself and appreciating everyone","Yaaaasssssss, equality, not degrading men, but uplifting herself and appreciating everyone",@alucard73,UCTkYuS616QNTSxPX8eg7L-Q,21,0,2022-04-13T09:47:04Z,2022-04-13,09:47:04,90,11,1,0,0,0.011,0,8.18,,,,,,,,,,
Ugwb4NI6tcMK7305nSt4AaABAg,Ugwb4NI6tcMK7305nSt4AaABAg,habpdmFSTOo,"THE POWERRRRR ""im just a rockstar""","THE POWERRRRR ""im just a rockstar""",@gldsfake,UCzYY0z1WmBqFCES8ZT8z21g,73,0,2021-03-26T08:16:15Z,2021-03-26,08:16:15,34,6,1,0,0,0.353,0,5.67,,,,,,,,,,
UgxrkfYyourhPw_uw-l4AaABAg,UgxrkfYyourhPw_uw-l4AaABAg,habpdmFSTOo,"I think Gaga's intention was not to disrespect feminism,  but instead, it was more likely that she was merely opposing the reductive view of feminism as opposing men, rather than male privileges.","I think Gaga's intention was not to disrespect feminism, but instead, it was more likely that she was merely opposing the reductive view of feminism as opposing men, rather than male privileges.",@georgewu8218,UCylfgX08HwSedAyvSpyujdA,43,0,2020-12-08T10:02:36Z,2020-12-08,10:02:36,194,32,1,0,0,0.01,0,6.06,,,,,,,,,,
UgxrkfYyourhPw_uw-l4AaABAg.9H-anQatMz69hhHri8AAWd,UgxrkfYyourhPw_uw-l4AaABAg,habpdmFSTOo,"Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.","Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.",@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,3,1,2022-10-27T20:41:54Z,2022-10-27,20:41:54,507,92,3,0,0,0.018,0,5.51,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,"She killed it at the end when she said she wasn't a feminist. I don't even think she knew what the word meant at the time because her arguments before that were feminist arguments, and not to mention how ""shocked"" she was about being asked such a question (as if it were the worst thing to be one). ","She killed it at the end when she said she wasn't a feminist. I don't even think she knew what the word meant at the time because her arguments before that were feminist arguments, and not to mention how ""shocked"" she was about being asked such a question (as if it were the worst thing to be one).",@GAndreaTaura,UCR7sDALfSu-b_iVkb6z1Hig,51,0,2013-08-23T00:05:06Z,2013-08-23,00:05:06,298,58,2,0,0,0.007,0,5.14,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg.8Gb_mU8Ez9S9SH_5LymMup,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,"Totally agree
Sadly, most people don't know the actual meaning of feminism","Totally agree Sadly, most people don't know the actual meaning of feminism",@veronicapalmadiaz7183,UCKfRk2gQ1TJP91_oVmaEV6g,7,1,2021-09-14T19:19:23Z,2021-09-14,19:19:23,74,12,1,0,0,0.027,0,6.17,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg.8Gb_mU8Ez9S9fTZ84xcvFq,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,@@veronicapalmadiaz7183 What is actual meaning of feminism?,@@veronicapalmadiaz7183 What is actual meaning of feminism?,@hmb8801,UCemQ2jsVWp2d0-6GCJazBQw,0,1,2022-09-02T10:21:25Z,2022-09-02,10:21:25,59,7,1,0,1,0.017,0,8.43,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg.8Gb_mU8Ez9S9hhHzG2nxsU,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,@@hmb8801 Equality between the sexes.,@@hmb8801 Equality between the sexes.,@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,2,1,2022-10-27T20:42:55Z,2022-10-27,20:42:55,37,5,1,0,0,0.027,0,7.4,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg.8Gb_mU8Ez9S9hhI-vwwDrD,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,"Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.","Back then, the definition was still widely misunderstood because of the media. In the 2000s, I often said the same thing because I assumed feminism was women hating on men - and notice how she instantly clarifies that she does not hate men, but just wants to be treated fairly without a double-standard, so she clearly made the same mistake that I did. By her own clarification here, she very much IS a feminist, just as I was - we just didn't understand the definition of the movement properly at the time.",@ember-brandt,UC5PLGQAIVmTAiNRfRDh2H9A,7,1,2022-10-27T20:43:09Z,2022-10-27,20:43:09,507,92,3,0,0,0.018,0,5.51,,,,,,,,,,
Ugx_3EAXpYSEI_6Cr9R4AaABAg.8Gb_mU8Ez9S9hhT4T8HexS,Ugx_3EAXpYSEI_6Cr9R4AaABAg,habpdmFSTOo,"@@ember-brandt That's not the dictionary definition precisely though but even putting aside that females and males are not the same which means they are not equal.
Unless we mean equal for a different context.",@@ember-brandt That's not the dictionary definition precisely though but even putting aside that females and males are not the same which means they are not equal. Unless we mean equal for a different context.,@hmb8801,UCemQ2jsVWp2d0-6GCJazBQw,0,1,2022-10-27T22:19:53Z,2022-10-27,22:19:53,209,34,2,0,0,0.01,0,6.15,,,,,,,,,,
UgwwXqLFyXifIvnqQ6J4AaABAg,UgwwXqLFyXifIvnqQ6J4AaABAg,habpdmFSTOo,"""I actually wrote a song about it on my album, it's called 'GUY' and it stands for 'Go Under You'.""So wearing make-up, smelling delicious and having suckable, kissable, edible things between your limbs is something I find strengthening because I know that when I pick the right guy, I can let him have it.""

Lady gaga THE STYLIST november 2012","""I actually wrote a song about it on my album, it's called 'GUY' and it stands for 'Go Under You'.""So wearing make-up, smelling delicious and having suckable, kissable, edible things between your limbs is something I find strengthening because I know that when I pick the right guy, I can let him have it."" Lady gaga THE STYLIST november 2012",@popelinedejersey,UCh_26rUEZ5laEfMI1PG7vSQ,50,0,2013-02-28T00:34:43Z,2013-02-28,00:34:43,342,60,2,0,0,0.067,0,5.7,,,,,,,,,,
UgwwXqLFyXifIvnqQ6J4AaABAg.8Gc_U7LwsiH9LkT0s9vfkG,UgwwXqLFyXifIvnqQ6J4AaABAg,habpdmFSTOo,"That being said though, she would never hook up with an adult male who plays eternal teenage dressplay, including wearing makeup every day, just like her
She demands that men ""mature"", cut their hair short, adjust to the dresscodes and wear plain baggy clothing
Why should men keep up with women like her when they wouldn't keep up with a male that acts the same way, from a gendernetral perspective?
At least conservative women aren't hypocrite assholes when they demand that men act and dress tradionally masculine","That being said though, she would never hook up with an adult male who plays eternal teenage dressplay, including wearing makeup every day, just like her She demands that men ""mature"", cut their hair short, adjust to the dresscodes and wear plain baggy clothing Why should men keep up with women like her when they wouldn't keep up with a male that acts the same way, from a gendernetral perspective? At least conservative women aren't hypocrite assholes when they demand that men act and dress tradionally masculine",@katten838,UCAZe_zRi3-Njq2L_OT0AFVQ,0,1,2021-04-05T10:15:03Z,2021-04-05,10:15:03,516,87,1,0,1,0.008,0,5.93,,,,,,,,,,
